date,district,GAM Prevalence,next_prevalence,prevalence_diff
2019-07-01,Jilib,0.5113327705575001,0.3909294797509632,-0.12040329080653694
2019-07-01,Luuq,0.500413842160481,0.3829595838278671,-0.11745425833261391
2019-07-01,Qardho,0.3450721294564353,0.3964549089065016,0.05138277945006631
2019-07-01,Owdweyne,0.3310823852137992,0.2163547982087805,-0.11472758700501867
2019-07-01,Garoowe,0.3712592237262992,0.2932033874905685,-0.0780558362357307
2019-07-01,Zeylac,0.2649276406311697,0.3136157179811676,0.048688077349997916
2019-07-01,Xudur,0.5457788588250408,0.549549493748511,0.003770634923470184
2019-07-01,Xudun,0.3752507299375622,0.3569833355614147,-0.018267394376147494
2019-07-01,Xarardheere,0.2395519799571875,0.3962781291497199,0.1567261491925324
2019-07-01,Wanla Weyn,0.4732566779470763,0.4147038987749591,-0.05855277917211721
2019-07-01,Waajid,0.5458546307673043,0.5312342103332384,-0.014620420434065973
2019-07-01,Tayeeglow,0.5481180166869125,0.5185117637649114,-0.02960625292200114
2019-07-01,Taleex,0.3972102948995347,0.3772534798111706,-0.01995681508836411
2019-07-01,Sablaale,0.4578215216645919,0.4587764880148566,0.0009549663502647077
2019-07-01,Saakow/Salagle,0.5116476181559747,,
2019-07-01,Saakow,0.4181286549707602,0.4082173073829072,-0.009911347587853003
2019-07-01,Qoryooley,0.4647070601850455,0.4443390921876267,-0.0203679679974188
2019-07-01,Qansax Dheere,0.5490683229813664,0.6480009367515506,0.09893261377018414
2019-07-01,Qandala,0.4662120199606611,0.4205569846330418,-0.045655035327619276
2019-07-01,Marka,0.4539589601919299,0.4637137550163429,0.009754794824412993
2019-07-01,Sheikh,0.311807882954238,0.2081401693223537,-0.10366771363188429
2019-07-01,Garbahaarey,0.5554649634831142,0.4048338368195087,-0.15063112666360556
2019-07-01,Gaalkacyo,0.3602422105460542,0.4778162642037701,0.1175740536577159
2019-07-01,Borama,0.2736328112610178,0.2138712946350238,-0.05976151662599399
2019-07-01,Berbera,0.2430326560610348,0.2324431385911439,-0.010589517469890897
2019-07-01,Belet Xaawo,0.5172155129757019,0.4081442057063084,-0.10907130726939351
2019-07-01,Belet Weyne (Mataban),0.6739054290718038,,
2019-07-01,Belet Weyne,0.5868054618205713,0.4954915340016362,-0.09131392781893505
2019-07-01,Baydhaba/Bardaale,0.5490683229813665,,
2019-07-01,Baydhaba,0.5737354286751378,,
2019-07-01,Baraawe,0.4680395945111392,0.4454830625784129,-0.022556531932726276
2019-07-01,Bossaso,0.3081383281834315,0.4283242181220916,0.12018588993866008
2019-07-01,Bandarbeyla,0.3730940069179668,0.3243528970286548,-0.04874110988931202
2019-07-01,Balcad,0.4207892941616012,0.3899254108022901,-0.030863883359311117
2019-07-01,Baki,0.3180265223059977,0.2441924314943121,-0.0738340908116856
2019-07-01,Badhan,0.26208,,
2019-07-01,Badhaadhe,0.4823586641167936,0.3489569935965541,-0.13340167052023955
2019-07-01,Baardheere,0.5213965829380455,0.2484368223141074,-0.27295976062393806
2019-07-01,Afgooye,0.462159131461528,0.4492225378213771,-0.012936593640150873
2019-07-01,Adan Yabaal,0.3406226826633605,0.3126112111904077,-0.028011471472952798
2019-07-01,Galdogob,0.3845598383707495,0.4646904136201208,0.08013057524937134
2019-07-01,Banadir,0.4536122788198948,0.4512394733904072,-0.00237280542948759
2019-07-01,Bu'aale,0.5163749201445982,0.3994682200116711,-0.11690670013292709
2019-07-01,Afmadow/Xagar,0.5119018086833421,,
2019-07-01,Burco,0.2998339565222233,0.1798890136234226,-0.11994494289880067
2019-07-01,Bulo Burto,0.5898451672177014,0.4798138405125635,-0.11003132670513793
2019-07-01,Eyl,0.389948051145162,0.3279739567099389,-0.061974094435223115
2019-07-01,Diinsoor,0.5512844916157692,0.631234351243638,0.07994985962786882
2019-07-01,Dhuusamarreeb,0.350049306671516,0.4195523751616953,0.06950306849017929
2019-07-01,Ceerigaabo,0.3969125115565767,0.3959349225046938,-0.0009775890518828878
2019-07-01,Ceel Waaq,0.4894280635303719,0.2898932988948713,-0.19953476463550057
2019-07-01,Ceel Dheer,0.302048788800896,0.3728953651323323,0.07084657633143632
2019-07-01,Ceel Buur,0.3777466079633201,0.4128893068350834,0.0351426988717633
2019-07-01,Ceel Barde,0.5293849399339471,0.6338574120659726,0.10447247213202548
2019-07-01,Doolow,0.5545845681860391,0.4261285631981143,-0.12845600498792475
2019-07-01,Caynabo,0.3738642018133994,0.3650665187072713,-0.008797683106128107
2019-07-01,Caluula,0.4710581502935269,0.4918983277534718,0.02084017745994493
2019-07-01,Cadale,0.3368835013608263,0.3083621800244197,-0.028521321336406613
2019-07-01,Cadaado,0.3520109308137275,0.4486568197838627,0.09664588897013521
2019-07-01,Cabudwaaq,0.3728535271691253,0.4257411293474653,0.05288760217833999
2019-07-01,Buur Hakaba,0.5490683229813665,0.6211723936273237,0.07210407064595714
2019-07-01,Buuhoodle,0.3121385033565494,0.2280735519390103,-0.08406495141753911
2019-07-01,Ceel Afweyn,0.4022499807716035,0.4017099370835031,-0.0005400436881004
2019-07-01,Burtinle,0.3848427803948877,0.3607539512669208,-0.024088829127966893
2020-01-01,Qansax Dheere,0.6480009367515506,0.4244430093639005,-0.22355792738765007
2020-01-01,Cabudwaaq,0.4257411293474653,0.3608793180798564,-0.06486181126760887
2020-01-01,Cadaado,0.4486568197838627,0.3380690991281885,-0.11058772065567418
2020-01-01,Ceel Buur,0.4128893068350834,0.3266989556530952,-0.0861903511819882
2020-01-01,Ceel Dheer,0.3728953651323323,0.2858416181007885,-0.08705374703154378
2020-01-01,Dhuusamarreeb,0.4195523751616953,0.3225435261156694,-0.09700884904602591
2020-01-01,Baardheere,0.2484368223141074,0.2304840065259306,-0.017952815788176812
2020-01-01,Garbahaarey,0.4048338368195087,0.3596606279203213,-0.04517320889918741
2020-01-01,Ceel Waaq,0.2898932988948713,0.2331280633404549,-0.0567652355544164
2020-01-01,Doolow,0.4261285631981143,0.3757435851904466,-0.050384978007667724
2020-01-01,Luuq,0.3829595838278671,0.3060848186846958,-0.07687476514317132
2020-01-01,Belet Weyne,0.4954915340016362,0.4625835669613974,-0.032907967040238795
2020-01-01,Bulo Burto,0.4798138405125635,0.4556007922535211,-0.024213048259042358
2020-01-01,Diinsoor,0.631234351243638,0.4420162648228424,-0.18921808642079563
2020-01-01,Jalalaqsi,0.4735042553650304,0.4544457188450606,-0.019058536519969804
2020-01-01,Belet Xaawo,0.4081442057063084,0.3524982406755805,-0.055645965030727884
2020-01-01,Buur Hakaba,0.6211723936273237,0.4157290382244143,-0.20544335540290937
2020-01-01,Waajid,0.5312342103332384,0.4367229608336327,-0.09451124949960565
2020-01-01,Qardho,0.3964549089065016,0.3997979640997746,0.0033430551932729924
