date,district,GAM Prevalence,next_prevalence,prevalence_diff,total population
2018-01-01,Bu'aale,0.3925999999999999,0.4125181113098476,0.0199181113098477,66070.0
2018-01-01,Gaalkacyo,0.4004,0.4668580324895174,0.0664580324895174,72923.0
2018-01-01,Eyl,0.3795999999999999,0.456573523755734,0.0769735237557341,99941.0
2018-01-01,Garbahaarey,0.3925999999999999,0.345678336354725,-0.0469216636452748,231851.0
2018-01-01,Qardho,0.3432,0.5372761677527557,0.1940761677527556,90880.0
2018-01-01,Qoryooley,0.351,0.4363798525409664,0.0853798525409664,100263.0
2018-01-01,Rab Dhuure,0.4861999999999999,,,35879.0
2018-01-01,Saakow,0.3925999999999999,0.3717999999999999,-0.0207999999999999,183233.0
2018-01-01,Sablaale,0.3510000000000001,0.4309610549243231,0.0799610549243229,61428.0
2018-01-01,Taleex,0.2912,0.2547557920787028,-0.0364442079212972,156220.0
2018-01-01,Tayeeglow,0.4861999999999999,0.3502607787971933,-0.1359392212028066,191431.0
2018-01-01,Waajid,0.4861999999999999,0.4748949097855825,-0.0113050902144173,56743.0
2018-01-01,Wanla Weyn,0.351,0.3788174337777663,0.0278174337777663,188548.0
2018-01-01,Xarardheere,0.4004000000000001,0.3447106682656731,-0.055689331734327,180336.0
2018-01-01,Xudun,0.2912,0.2431695325710332,-0.0480304674289668,207773.0
2018-01-01,Xudur,0.4862,0.4689020964811947,-0.0172979035188053,20213.0
2018-01-01,Zeylac,0.1689999999999999,0.4330650433619875,0.2640650433619875,66459.0
2018-01-01,Mogadishu,0.2912,,,515337.0
2018-01-01,Galdogob,0.4004,0.4695085383288688,0.0691085383288688,129759.0
2018-01-01,Qansax Dheere,0.2886,0.5092847348131929,0.2206847348131929,139564.0
2018-01-01,Qandala,0.3431999999999999,0.4649012053458273,0.1217012053458274,61939.0
2018-01-01,Sheikh,0.2028,0.2505864840856458,0.0477864840856458,50827.0
2018-01-01,Marka,0.351,0.3971406259324205,0.0461406259324205,32986.0
2018-01-01,Owdweyne,0.2028,0.2303423878316652,0.0275423878316651,51734.0
2018-01-01,Gebiley,0.1975999999999999,0.2443191130723181,0.0467191130723182,69575.0
2018-01-01,Hargeysa,0.1975999999999999,0.2386485041615721,0.0410485041615722,79232.0
2018-01-01,Hobyo,0.4003999999999999,0.3354148794445133,-0.0649851205554866,101133.0
2018-01-01,Iskushuban,0.3432,0.4846457772814762,0.1414457772814761,71052.0
2018-01-01,Jalalaqsi,0.3925999999999999,0.3858321287337016,-0.0067678712662982,39782.0
2018-01-01,Jamaame,0.3926,0.4077438698894172,0.0151438698894171,56310.0
2018-01-01,Jariiban,0.4004,0.4050420526164857,0.0046420526164857,121988.0
2018-01-01,Garoowe,0.3795999999999999,0.5170266990935967,0.1374266990935967,40676.0
2018-01-01,Jowhar,0.351,0.3830459721840857,0.0320459721840857,78011.0
2018-01-01,Kismaayo,0.3925999999999999,0.4685498464822668,0.0759498464822668,148588.0
2018-01-01,Kurtunwaarey,0.3510000000000001,0.4461179568825337,0.0951179568825336,59940.0
2018-01-01,Laas Caanood,0.2911999999999999,0.2293654902134254,-0.0618345097865745,2228463.0
2018-01-01,Laasqoray,0.3367,0.2261999999999999,-0.1105000000000001,164086.0
2018-01-01,Lughaye,0.169,0.4196119285022721,0.2506119285022721,45956.0
2018-01-01,Luuq,0.3926,0.4123022966960434,0.0197022966960433,61242.0
2018-01-01,Jilib,0.3925999999999999,0.4060356888423295,0.0134356888423295,377653.0
2018-07-01,Burtinle,0.4927859267135329,0.4133399855287525,-0.0794459411847803,99157.0
2018-07-01,Buuhoodle,0.226129551832888,0.188847667729668,-0.03728188410322,453434.0
2018-07-01,Buur Hakaba,0.4846909879180319,0.47037719442215,-0.0143137934958819,99157.0
2018-07-01,Cabudwaaq,0.4299665440197571,0.3232371835699271,-0.10672936044983,72825.0
2018-07-01,Cadaado,0.4263710655123516,0.3305779447408884,-0.0957931207714631,50827.0
2018-07-01,Cadale,0.2829201738380863,0.397642761583422,0.1147225877453356,32986.0
2018-07-01,Caluula,0.4507637375759017,0.5231865541625861,0.0724228165866843,51735.0
2018-07-01,Ceel Buur,0.3602624374798162,0.3168079047398306,-0.0434545327399855,69574.0
2018-07-01,Ceel Afweyn,0.2906972787612182,0.4201611561308622,0.129463877369644,79231.0
2018-07-01,Ceel Barde,0.34701491572768,0.523846379837409,0.176831464109729,2228463.0
2018-07-01,Ceel Dheer,0.3142399717243435,0.3237222467082124,0.0094822749838689,15023.0
2018-07-01,Ceel Waaq,0.2770029164634731,0.3215618498962238,0.0445589334327506,467020.0
2018-07-01,Ceerigaabo,0.3096083862495412,0.4231594017049179,0.1135510154553767,51766.0
2018-07-01,Dhuusamarreeb,0.3909032104916541,0.3069711905400723,-0.0839320199515817,62264.0
2018-07-01,Burco,0.2211366753028379,0.1770356571398554,-0.0441010181629825,52515.0
2018-07-01,Caynabo,0.2428031590674251,0.3464523514753054,0.1036491924078802,64346.0
2018-07-01,Bulo Burto,0.3908949717937982,0.470453127878576,0.0795581560847778,515337.0
2018-07-01,Adan Yabaal,0.2789393906990287,0.3959736631857278,0.1170342724866991,129760.0
2018-07-01,Bossaso,0.482210605259551,0.3942170096006928,-0.0879935956588582,139564.0
2018-07-01,Afgooye,0.384859060068862,0.4383403468241347,0.0534812867552726,61939.0
2018-07-01,Afmadow/Xagar,0.3680877161916911,0.3567363956871535,-0.0113513205045376,111450.0
2018-07-01,Baardheere,0.2972606382668021,0.2870882907046133,-0.0101723475621888,77426.0
2018-07-01,Badhaadhe,0.3711192650605567,0.2330307158506623,-0.1380885492098944,66069.0
2018-07-01,Badhan,0.2262,0.3022354694485842,0.0760354694485841,72923.0
2018-07-01,Baki,0.2761092768701464,0.3124852051578765,0.03637592828773,99941.0
2018-07-01,Balcad,0.3580405856281527,0.4256324032458843,0.0675918176177315,101133.0
2018-07-01,Bu'aale,0.4125181113098476,0.31831560695452,-0.0942025043553276,71052.0
2018-07-01,Banadir,0.4555156517242613,0.4292576344574564,-0.0262580172668048,39783.0
2018-07-01,Baraawe,0.3785774588022779,0.439931798183591,0.0613543393813131,56311.0
2018-07-01,Baydhaba,0.6333880388856111,0.4723126687951987,-0.1610753700904124,121988.0
2018-07-01,Baydhaba/Bardaale,0.5205311542390195,0.4706401766004416,-0.0498909776385779,40676.0
2018-07-01,Belet Weyne,0.4637281725694139,0.4709482336256127,0.0072200610561988,231850.0
2018-07-01,Belet Xaawo,0.3942363701220913,0.4070600258586147,0.0128236557365234,90880.0
2018-07-01,Berbera,0.2949701973955382,0.2657364311048932,-0.029233766290645,100263.0
2018-07-01,Borama,0.2406251937071188,0.204456465641011,-0.0361687280661078,164086.0
2018-07-01,Bandarbeyla,0.499901764184284,0.3786044640745989,-0.121297300109685,45955.0
2018-07-01,Doolow,0.5392512067568789,0.3983778863086515,-0.1408733204482273,61242.0
2018-07-01,Diinsoor,0.4769534198876959,0.4709407002848428,-0.0060127196028531,377653.0
2018-07-01,Gaalkacyo,0.4668580324895174,0.3939217335250711,-0.0729362989644463,191431.0
2018-07-01,Qandala,0.4649012053458273,0.4847031486728068,0.0198019433269794,56744.0
2018-07-01,Qansax Dheere,0.5092847348131929,0.4706401766004414,-0.0386445582127515,188547.0
2018-07-01,Qardho,0.5372761677527557,0.4087521426316601,-0.1285240251210955,180336.0
2018-07-01,Qoryooley,0.4363798525409664,0.4388574958395,0.0024776432985336,207773.0
2018-07-01,Saakow,0.3717999999999999,0.3836149906890133,0.0118149906890133,20212.0
2018-07-01,Saakow/Salagle,0.3922946898077266,0.3014139973234372,-0.0908806924842893,66459.0
2018-07-01,Sablaale,0.4309610549243231,0.4365207106198354,0.0055596556955123,78010.0
2018-07-01,Sheikh,0.2505864840856458,0.2526659184696406,0.0020794343839947,148587.0
2018-07-01,Taleex,0.2547557920787028,0.3787844823934796,0.1240286903147768,59941.0
2018-07-01,Tayeeglow,0.3502607787971933,0.4731941786256158,0.1229333998284225,35878.0
2018-07-01,Waajid,0.4748949097855825,0.4792888339084379,0.0043939241228553,183234.0
2018-07-01,Wanla Weyn,0.3788174337777663,0.4417324945420314,0.0629150607642651,61427.0
2018-07-01,Xarardheere,0.3447106682656731,0.3440937497588239,-0.0006169185068491,156220.0
2018-07-01,Xudun,0.2431695325710332,0.3499931256730363,0.1068235931020031,377473.0
2018-07-01,Xudur,0.4689020964811947,0.48161201917032,0.0127099226891252,72579.0
2018-07-01,Zeylac,0.4330650433619875,0.2939877424871059,-0.1390773008748815,69851.0
2018-07-01,Eyl,0.456573523755734,0.3843661195946408,-0.0722074041610932,74373.0
2018-07-01,Owdweyne,0.2303423878316652,0.2072939133886237,-0.0230484744430414,33447.0
2018-07-01,Marka,0.3971406259324205,0.4356751207813825,0.0385344948489619,59092.0
