index,date,district,prevalence,next_prevalence,prevalence_6lag,covid,ndvi,ipc,cropdiv,population,month,increase,increase_numeric,district_encoded,predictions
209,2020-07-01,Owdweyne,0.132173714024146,0.1948497854077253,0.2163547982087805,5.0,0.23500000000000001,0.12,3.0,87385.0,7,True,0.06267607138357931,69,0.2588397783395498
210,2020-07-01,Bulo Burto,0.4556007922535211,0.1980742778541953,0.4798138405125635,5.0,0.355,0.03,9.0,90880.0,7,False,-0.25752651439932583,25,0.4330390488603947
211,2020-07-01,Hobyo,0.306084466714388,0.2841803865425912,0.3706782212839118,5.0,0.21666666666666667,0.12,2.0,69851.0,7,False,-0.02190408017179679,53,0.32972374457646814
212,2020-07-01,Tayeeglow,0.4117135401565671,0.4702754954084098,0.5185117637649114,5.0,0.4266666666666667,0.02,5.0,51735.0,7,True,0.05856195525184271,80,0.45949714414389
213,2021-01-01,Waajid,0.4933524973050665,0.4498858793883663,0.4367229608336327,3583.0,0.3116666666666667,0.1,5.0,69575.0,1,False,-0.043466617916700145,81,0.4802548522909295
214,2021-01-01,Badhaadhe,0.2774755168661588,0.4056724072698737,0.2639538679142639,3583.0,0.5566666666666666,0.1,5.0,45956.0,1,True,0.1281968904037149,7,0.36646046678919886
215,2021-01-01,Xudur,0.5317134742821079,0.4472915724098218,0.4469897765997728,3583.0,0.35333333333333333,0.12,5.0,79232.0,1,False,-0.0844219018722861,85,0.49323732456647024
216,2021-01-01,Afgooye,0.4841321666449001,0.4637639420358601,0.4582353863030873,3583.0,0.4166666666666667,0.1,6.0,191431.0,1,False,-0.02036822460904003,3,0.4149311076196527
217,2021-01-01,Xarardheere,0.2414050822122571,0.268406014603596,0.3925848407833757,3583.0,0.25833333333333336,0.25,4.0,33448.0,1,True,0.027000932391338883,83,0.3548497519911366
218,2021-01-01,Baardheere,0.2388133498145859,0.3868994061543999,0.2304840065259306,3583.0,0.35666666666666663,0.14,8.0,101133.0,1,True,0.14808605633981398,6,0.3689839131199146
219,2021-01-01,Jalalaqsi,0.1947145350286711,0.4080728253042081,0.4544457188450606,3583.0,0.4383333333333333,0.1,10.0,100263.0,1,True,0.213358290275537,55,0.4635085025010222
220,2021-01-01,Jilib,0.3124158815612382,0.4043924756806527,0.3881953090823434,3583.0,0.5633333333333334,0.11,5.0,148588.0,1,True,0.0919765941194145,58,0.41480180445329856
221,2021-01-01,Balcad,0.4233865465957157,0.4248102325025402,0.3992414113024258,3583.0,0.435,0.13,6.0,183233.0,1,True,0.0014236859068245122,11,0.395954386464545
222,2021-01-01,Doolow,0.3641207815275311,0.3515556336790297,0.3757435851904466,3583.0,0.19999999999999998,0.15,6.0,56310.0,1,False,-0.012565147848501379,45,0.44111604939735777
223,2021-01-01,Jowhar,0.4605536885901744,0.4476632959825088,0.4604083984124952,3583.0,0.4533333333333333,0.13,7.0,156220.0,1,False,-0.012890392607665613,59,0.41784431228953256
224,2021-01-01,Gebiley,0.1924063622370446,0.2876174019676151,0.1675903119868637,3583.0,0.25666666666666665,0.11,2.0,97441.0,1,True,0.09521103973057049,51,0.24048522404336284
