district,date,next_prevalence,predictions_model_2,predictions_model_3
Xarardheere,2021-01-01,0.268406014603596,0.4217340078145481,0.4253376493623703
Ceel Waaq,2021-01-01,0.3544682405589296,0.3491337616456472,0.3391654985726366
Afgooye,2021-01-01,0.4637639420358601,0.3924192489553247,0.4281186953875789
Bulo Burto,2021-01-01,0.3462197497828791,0.4431970393821267,0.4415965173699929
Tayeeglow,2021-01-01,0.4212055712220329,0.422172529760777,0.4123276955010068
Galdogob,2021-01-01,0.4573444515715202,0.4186303492791644,0.3788443773311832
Owdweyne,2021-01-01,0.2280157801397049,0.2516455863572172,0.2410141517467243
Borama,2021-01-01,0.2772673624137732,0.2364128677028343,0.2326719284837193
Marka,2021-01-01,0.4460078540314803,0.3941252982613751,0.4332167760024498
Eyl,2021-01-01,0.3608362119600107,0.3861426453092897,0.3461105696152924
Caynabo,2021-01-01,0.2174981567952813,0.2434375594540839,0.2387847234726957
Qandala,2021-01-01,0.3321710405579005,0.3819620277479709,0.4119889269635727
Luuq,2021-01-01,0.3731717928980219,0.3694502498296343,0.3795816365843258
Bossaso,2021-01-01,0.4282333104445733,0.3955508431423395,0.4282688415418091
Bu'aale,2021-01-01,0.4008547346761109,0.392494894035465,0.3814042881147505
Kurtunwaarey,2021-01-01,0.4575951234622532,0.4542850820374846,0.4375914599984718
Jowhar,2021-01-01,0.4476632959825088,0.4525921971204308,0.4561899274819534
Gaalkacyo,2021-01-01,0.3799963816705769,0.4304873804667836,0.4344414264153373
Caluula,2021-01-01,0.3438764024096086,0.4352077739912233,0.4155492059249545
Kismaayo,2021-01-01,0.3934804082976622,0.4063574949340537,0.3842055982824081
Jilib,2021-01-01,0.4043924756806527,0.4229706619400126,0.3658819102496191
Berbera,2021-01-01,0.2759629145666106,0.250553910893635,0.2267846595065596
Doolow,2021-01-01,0.3515556336790297,0.4139152357576552,0.3809956319506116
Qansax Dheere,2021-01-01,0.4305075046172255,0.4374272534606027,0.4728357225694685
Balcad,2021-01-01,0.4248102325025402,0.4089842195678105,0.4105626917943075
Dhuusamarreeb,2021-01-01,0.3560481018674942,0.3771980908559276,0.3958487745697067
Taleex,2021-01-01,0.2387409755911226,0.2514590465019818,0.2489994862862236
Iskushuban,2021-01-01,0.3565675219048366,0.3795070246320906,0.4109053922723772
Garbahaarey,2021-01-01,0.3273081001778068,0.4528855428542226,0.4199246570623431
Buuhoodle,2021-01-01,0.2063106796116504,0.251604975538971,0.2479330189300257
