prevalence_6lag,covid,ndvi,ipc,population,month,district_encoded,district,date,next_prevalence,predictions
0.4048338368195087,3310.0,0.35166666666666674,0.22,271288.5935653316,7,49,Garbahaarey,2020-07-01,0.3637295081967213,0.4084928503039297
0.4735042553650304,3310.0,0.35000000000000003,0.01,178810.11668822702,7,55,Jalalaqsi,2020-07-01,0.1947145350286711,0.4690066977764118
0.3959349225046938,3310.0,0.17,0.08,959744.1903862744,7,42,Ceerigaabo,2020-07-01,0.263567871280807,0.3578003845923057
0.4587764880148566,3310.0,0.5883333333333334,0.04,14000.0,7,77,Sablaale,2020-07-01,0.4548825710754017,0.49067990000980144
0.4798138405125635,3310.0,0.355,0.03,80263.42747402092,7,25,Bulo Burto,2020-07-01,0.1980742778541953,0.4443876600992851
0.4195523751616953,3310.0,0.24,0.22,211434.1247319937,7,43,Dhuusamarreeb,2020-07-01,0.3271635817908954,0.38507160552814296
0.631234351243638,3310.0,0.4383333333333333,0.08,102232.682999872,7,44,Diinsoor,2020-07-01,0.492387605230163,0.4220416458505694
0.3962781291497199,3310.0,0.2416666666666667,0.01,99442.45554944112,7,83,Xarardheere,2020-07-01,0.2414050822122571,0.38738997383395285
0.5312342103332384,3310.0,0.37166666666666665,0.05,119189.63988343433,7,81,Waajid,2020-07-01,0.4933524973050665,0.4490174701882058
0.2029943156263941,3310.0,0.215,0.11,53800.5744763104,7,52,Hargeysa,2020-07-01,0.1965854943370926,0.2075422574674949
0.3909294797509632,3310.0,0.5466666666666667,0.1,76799.71197431434,7,58,Jilib,2020-07-01,0.3124158815612382,0.3745014717351733
0.4283242181220916,3310.0,0.16833333333333333,0.1,103004.37800500816,7,23,Bossaso,2020-07-01,0.3622932391199615,0.41845907335824506
0.6480009367515506,3310.0,0.39999999999999997,0.05,397759.659833392,7,71,Qansax Dheere,2020-07-01,0.5084745762711864,0.43439405485781885
0.3136157179811676,3310.0,0.11833333333333333,0.16,148952.26299964866,7,86,Zeylac,2020-07-01,0.1853759011328527,0.32735153175290255
0.3650665187072713,3310.0,0.21166666666666667,0.07,60361.40289872798,7,35,Caynabo,2020-07-01,0.2574626865671642,0.3530843032910139
0.2898932988948713,3310.0,0.4283333333333334,0.05,474784.6404434893,7,40,Ceel Waaq,2020-07-01,0.2664990571967316,0.40073078969231996
0.3994682200116711,3310.0,0.5316666666666666,0.13,24953.239247136426,7,24,Bu'aale,2020-07-01,0.3788461538461538,0.37778397312179635
0.4492225378213771,3310.0,0.35333333333333333,0.06,96228.94625799869,7,3,Afgooye,2020-07-01,0.4841321666449001,0.3946152680998185
0.4452618351340643,3310.0,0.5833333333333334,0.02,69363.1772816809,7,61,Kurtunwaarey,2020-07-01,0.4643330681516839,0.4472956699943575
0.4778162642037701,3310.0,0.205,0.15,29233.817803085487,7,47,Gaalkacyo,2020-07-01,0.3833366448109146,0.4310414986618848
0.3728953651323323,3310.0,0.26833333333333337,0.08,99262.17263864214,7,39,Ceel Dheer,2020-07-01,0.2814535481659239,0.3777911264184356
0.2667717736348647,3310.0,0.26333333333333336,0.07,220788.33591955536,7,51,Gebiley,2020-07-01,0.1924063622370446,0.27533803516510547
0.3769676308818636,3310.0,0.5033333333333333,0.22,65965.83992880996,7,60,Kismaayo,2020-07-01,0.3705150271415331,0.3946318791607836
0.4462076309782391,3310.0,0.355,0.04,34095.52790194442,7,59,Jowhar,2020-07-01,0.4605536885901744,0.4601189805487338
0.4637137550163429,3310.0,0.4116666666666666,0.06,80478.15211908707,7,67,Marka,2020-07-01,0.4615277970331346,0.490730276010076
0.3829595838278671,3310.0,0.2733333333333334,0.04,178680.20288903484,7,66,Luuq,2020-07-01,0.3583282114320836,0.4293125680330761
