date,next_prevalence,district,GAM Prevalence,actor2_Police Forces of Somaliland (2010-),interaction_12,fatalities,interaction_27,actor2_Al Shabaab,district_encoded,actor1_Police Forces of Somalia (2017-2022),actor1_Military Forces of Somalia (2017-2022),actor2_Military Forces of Somalia (2017-2022)
2017-07-01,0.1690000000000001,Borama,0.3795999999999999,7.0,0.0,1.0,0.0,0.0,14,0.0,0.0,0.0
2017-07-01,0.351,Afgooye,0.3692,0.0,107.0,658.0,27.0,192.0,1,1.0,34.0,3.0
2017-07-01,0.3925999999999999,Afmadow,0.4206678541919456,0.0,16.0,344.0,4.0,43.0,2,0.0,1.0,0.0
2017-07-01,0.3925999999999999,Baardheere,0.4316,0.0,22.0,180.0,6.0,62.0,3,1.0,5.0,0.0
2017-07-01,0.3926,Badhaadhe,0.4316000000000001,0.0,7.0,235.0,3.0,34.0,4,0.0,2.0,0.0
2017-07-01,0.351,Balcad,0.3692,0.0,9.0,73.0,2.0,9.0,6,0.0,6.0,1.0
2017-07-01,0.3510000000000001,Baraawe,0.3692000000000001,0.0,10.0,105.0,5.0,23.0,9,0.0,3.0,0.0
2017-07-01,0.3926,Belet Weyne,0.429,0.0,18.0,234.0,19.0,41.0,11,0.0,11.0,2.0
2017-07-01,0.1976,Berbera,0.3387799937377845,8.0,0.0,3.0,0.0,0.0,13,0.0,0.0,0.0
2017-07-01,0.3432,Bossaso,0.4160559934810628,0.0,26.0,122.0,10.0,28.0,15,0.0,0.0,0.0
2017-07-01,0.3795999999999999,Eyl,0.4523999999999998,0.0,1.0,0.0,0.0,1.0,36,0.0,0.0,0.0
2017-07-01,0.4862,Xudur,0.4862,0.0,36.0,145.0,6.0,46.0,72,1.0,3.0,0.0
2017-07-01,0.2028,Owdweyne,0.3406,0.0,0.0,0.0,0.0,0.0,57,0.0,0.0,0.0
2017-07-01,0.3431999999999999,Qandala,0.4055999999999999,0.0,16.0,77.0,4.0,1.0,58,0.0,0.0,0.0
2017-07-01,0.2886,Qansax Dheere,0.3588,0.0,7.0,72.0,4.0,10.0,59,1.0,2.0,0.0
2017-07-01,0.3432,Qardho,0.4112666438059597,0.0,1.0,26.0,0.0,1.0,60,0.0,0.0,0.0
2017-07-01,0.351,Qoryooley,0.3691999999999998,0.0,23.0,144.0,5.0,56.0,61,1.0,4.0,0.0
2017-07-01,0.4861999999999999,Rab Dhuure,0.4861999999999999,0.0,10.0,60.0,4.0,18.0,62,0.0,0.0,0.0
2017-07-01,0.4861999999999999,Tayeeglow,0.4861999999999999,0.0,7.0,43.0,5.0,9.0,67,0.0,0.0,0.0
2017-07-01,0.4861999999999999,Waajid,0.4861999999999999,0.0,15.0,47.0,2.0,26.0,68,0.0,4.0,0.0
2017-07-01,0.351,Wanla Weyn,0.3692,0.0,14.0,119.0,3.0,26.0,69,0.0,5.0,1.0
2017-07-01,0.4004000000000001,Xarardheere,0.4732000000000002,0.0,5.0,109.0,7.0,12.0,70,0.0,1.0,0.0
2017-07-01,0.4004,Gaalkacyo,0.4796931726673279,0.0,5.0,363.0,6.0,7.0,37,0.0,0.0,0.0
2017-07-01,0.351,Marka,0.3692,0.0,69.0,474.0,24.0,154.0,56,0.0,16.0,4.0
2017-07-01,0.3925999999999999,Saakow,0.4316,0.0,1.0,59.0,2.0,7.0,63,0.0,0.0,0.0
2017-07-01,0.3926,Luuq,0.4315999999999998,0.0,4.0,8.0,4.0,6.0,55,1.0,1.0,0.0
2017-07-01,0.3795999999999999,Garoowe,0.458347673913086,0.0,6.0,83.0,0.0,7.0,40,0.0,0.0,0.0
2017-07-01,0.1975999999999999,Gebiley,0.338,2.0,0.0,0.0,0.0,0.0,41,0.0,0.0,0.0
2017-07-01,0.1975999999999999,Hargeysa,0.3425891325819686,11.0,2.0,4.0,0.0,1.0,42,0.0,0.0,0.0
2017-07-01,0.4003999999999999,Hobyo,0.4732,0.0,6.0,79.0,0.0,8.0,43,0.0,0.0,0.0
