date,next_prevalence,district,district_encoded,sub_event_type_Violent demonstration,sub_event_type_Suicide bomb,sub_event_type_Shelling/artillery/missile attack,sub_event_type_Sexual violence,sub_event_type_Remote explosive/landmine/IED,sub_event_type_Protest with intervention,sub_event_type_Peaceful protest,sub_event_type_Other,sub_event_type_Non-violent transfer of territory
2018-01-01,0.3858321287337016,Jalalaqsi,45,0.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0
2018-01-01,0.4077438698894172,Jamaame,46,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2018-01-01,0.5170266990935967,Garoowe,40,5.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0
2018-01-01,0.3830459721840857,Jowhar,49,0.0,0.0,9.0,0.0,41.0,1.0,1.0,0.0,2.0
2018-01-01,0.4685498464822668,Kismaayo,50,0.0,3.0,5.0,0.0,26.0,1.0,1.0,0.0,5.0
2018-01-01,0.4461179568825337,Kurtunwaarey,51,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0
2018-01-01,0.2293654902134254,Laas Caanood,52,1.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0
2018-01-01,0.2261999999999999,Laasqoray,53,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2018-01-01,0.4123022966960434,Luuq,55,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
2018-01-01,0.4060356888423295,Jilib,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-01,0.4133399855287525,Burtinle,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-01,0.188847667729668,Buuhoodle,20,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
2018-07-01,0.47037719442215,Buur Hakaba,21,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
2018-07-01,0.3232371835699271,Cabudwaaq,22,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2018-07-01,0.3305779447408884,Cadaado,23,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0
2018-07-01,0.5231865541625861,Caluula,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-01,0.3168079047398306,Ceel Buur,29,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2018-07-01,0.4201611561308622,Ceel Afweyn,27,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
2018-07-01,0.3237222467082124,Ceel Dheer,30,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-07-01,0.3215618498962238,Ceel Waaq,31,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
