date,next_prevalence,district,district_encoded,number_conflicts,count_actors_4,count_actors_3,count_actors_2,count_actors_1,source_scale_Subnational-National,source_scale_Subnational,source_scale_Regional,source_scale_Other-Subnational
2018-01-01,0.4309610549243231,Sablaale,64,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2018-01-01,0.2547557920787028,Taleex,66,4,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0
2018-01-01,0.4748949097855825,Waajid,68,17,0.0,1.0,15.0,1.0,0.0,0.0,0.0,0.0
2018-01-01,0.3788174337777663,Wanla Weyn,69,14,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0
2018-01-01,0.3447106682656731,Xarardheere,70,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2018-01-01,0.4689020964811947,Xudur,72,28,0.0,0.0,27.0,1.0,0.0,0.0,0.0,0.0
2018-01-01,0.4695085383288688,Galdogob,38,3,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2018-01-01,0.5092847348131929,Qansax Dheere,59,7,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
2018-01-01,0.4649012053458273,Qandala,58,9,0.0,1.0,8.0,0.0,0.0,1.0,0.0,0.0
2018-01-01,0.2505864840856458,Sheikh,65,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2018-01-01,0.3971406259324205,Marka,56,73,0.0,8.0,63.0,2.0,0.0,1.0,1.0,0.0
2018-01-01,0.2303423878316652,Owdweyne,57,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2018-01-01,0.2443191130723181,Gebiley,41,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2018-01-01,0.2386485041615721,Hargeysa,42,28,4.0,9.0,12.0,3.0,0.0,0.0,1.0,0.0
2018-01-01,0.3354148794445133,Hobyo,43,4,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
2018-01-01,0.4846457772814762,Iskushuban,44,18,0.0,1.0,16.0,1.0,0.0,2.0,0.0,0.0
2018-01-01,0.3858321287337016,Jalalaqsi,45,16,0.0,3.0,12.0,1.0,0.0,0.0,0.0,0.0
2018-01-01,0.4077438698894172,Jamaame,46,2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2018-01-01,0.5170266990935967,Garoowe,40,18,1.0,6.0,10.0,1.0,0.0,0.0,0.0,0.0
2018-01-01,0.3830459721840857,Jowhar,49,62,0.0,12.0,49.0,1.0,0.0,0.0,0.0,0.0
2018-01-01,0.4685498464822668,Kismaayo,50,65,0.0,15.0,48.0,2.0,0.0,0.0,0.0,0.0
2018-01-01,0.4461179568825337,Kurtunwaarey,51,4,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
2018-01-01,0.2293654902134254,Laas Caanood,52,17,1.0,4.0,9.0,3.0,0.0,0.0,0.0,0.0
2018-01-01,0.2261999999999999,Laasqoray,53,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2018-01-01,0.4123022966960434,Luuq,55,5,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0
2018-01-01,0.4060356888423295,Jilib,48,13,0.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0
2018-07-01,0.4133399855287525,Burtinle,19,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-01,0.188847667729668,Buuhoodle,20,4,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0
2018-07-01,0.47037719442215,Buur Hakaba,21,9,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0
2018-07-01,0.3232371835699271,Cabudwaaq,22,5,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0
2018-07-01,0.3305779447408884,Cadaado,23,5,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0
2018-07-01,0.5231865541625861,Caluula,25,2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-01,0.3168079047398306,Ceel Buur,29,2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2018-07-01,0.4201611561308622,Ceel Afweyn,27,14,0.0,1.0,11.0,2.0,0.0,0.0,0.0,0.0
2018-07-01,0.3237222467082124,Ceel Dheer,30,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2018-07-01,0.3215618498962238,Ceel Waaq,31,17,0.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0
2018-07-01,0.4231594017049179,Ceerigaabo,32,21,0.0,5.0,10.0,6.0,0.0,0.0,0.0,0.0
2018-07-01,0.3069711905400723,Dhuusamarreeb,33,9,0.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0
2018-07-01,0.1770356571398554,Burco,18,11,0.0,1.0,8.0,2.0,0.0,0.0,0.0,0.0
2018-07-01,0.3464523514753054,Caynabo,26,4,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0
2018-07-01,0.470453127878576,Bulo Burto,17,30,0.0,11.0,18.0,1.0,0.0,0.0,0.0,0.0
2018-07-01,0.3942170096006928,Bossaso,15,90,0.0,12.0,75.0,3.0,0.0,0.0,0.0,0.0
2018-07-01,0.4383403468241347,Afgooye,1,116,0.0,21.0,93.0,2.0,0.0,8.0,0.0,0.0
2018-07-01,0.2870882907046133,Baardheere,3,15,0.0,1.0,13.0,1.0,0.0,0.0,0.0,0.0
2018-07-01,0.2330307158506623,Badhaadhe,4,13,0.0,0.0,11.0,2.0,0.0,0.0,1.0,0.0
2018-07-01,0.3124852051578765,Baki,5,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2018-07-01,0.4256324032458843,Balcad,6,43,0.0,4.0,37.0,2.0,0.0,0.0,0.0,0.0
2018-07-01,0.31831560695452,Bu'aale,16,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2018-07-01,0.4292576344574564,Banadir,7,410,2.0,71.0,326.0,11.0,0.0,5.0,0.0,0.0
2018-07-01,0.439931798183591,Baraawe,9,31,0.0,4.0,24.0,3.0,0.0,0.0,0.0,0.0
2018-07-01,0.4723126687951987,Baydhaba,10,59,0.0,5.0,52.0,2.0,0.0,1.0,0.0,0.0
