prevalence_6lag,covid,ndvi,ipc,cropdiv,population,month,district_encoded
0.4388574958395,0.0,0.38999999999999996,0.03,6.0,282277.1749967973,7,73
0.2072939133886237,0.0,0.17166666666666666,0.13,4.0,99751.78651328415,7,69
0.4731941786256158,0.0,0.35000000000000003,0.05,5.0,62826.76428427834,7,80
0.3096236699207461,0.0,0.4266666666666667,0.13,5.0,194982.61424177085,7,60
0.3157056116630282,0.0,0.4266666666666667,0.01,5.0,177363.81212203606,7,58
0.2526659184696406,0.0,0.19666666666666666,0.14,4.0,65965.83992880996,7,78
0.4706401766004414,0.0,0.3133333333333333,0.08,7.0,69363.1772816809,7,71
0.4365207106198354,0.0,0.4716666666666667,0.03,5.0,24953.239247136426,7,77
0.3149404261361454,0.0,0.35333333333333333,0.02,5.0,72274.03765624086,7,56
0.4792888339084379,0.0,0.255,0.04,4.0,122373.31931054375,7,81
0.4698845151234747,0.0,0.2866666666666667,0.06,9.0,137166.99069700082,7,55
0.470453127878576,0.0,0.27166666666666667,0.08,9.0,126308.10395590446,7,25
0.4383403468241347,0.0,0.28833333333333333,0.01,6.0,262835.8188681545,7,3
0.2870882907046133,0.0,0.305,0.02,6.0,122284.68350495162,7,6
0.2330307158506623,0.0,0.5133333333333333,0.01,5.0,41293.78545781948,7,7
0.4256324032458843,0.0,0.31666666666666665,0.02,6.0,211434.1247319937,7,11
0.439931798183591,0.0,0.26333333333333336,0.0,5.0,71451.00452711528,7,14
0.4709482336256127,0.0,0.22833333333333336,0.1,9.0,222898.05826843024,7,17
0.204456465641011,0.0,0.19333333333333333,0.2,4.0,397759.659833392,7,22
0.31831560695452,0.0,0.4666666666666666,0.01,6.0,102232.682999872,7,24
0.397642761583422,0.0,0.2316666666666667,0.04,3.0,83698.7844852664,7,33
0.3237222467082124,0.0,0.225,0.02,3.0,103004.37800500816,7,39
0.4709407002848428,0.0,0.355,0.07,7.0,144645.3749179251,7,44
0.3983778863086515,0.0,0.18833333333333332,0.27,6.0,70367.24202467134,7,45
0.195572345649635,0.0,0.18333333333333335,0.09,4.0,103448.69292549856,7,51
0.1951645146346709,0.0,0.15333333333333335,0.12,4.0,959744.1903862744,7,52
0.3520726565695597,0.0,0.16833333333333333,0.09,3.0,90079.84358712788,7,53
0.5921047430628529,0.0,0.37000000000000005,0.01,10.0,100262.70714634696,1,55
0.500413842160481,0.0,0.2833333333333333,0.04,7.0,40675.63477088211,1,66
0.4578215216645919,0.0,0.5983333333333333,0.04,5.0,20213.16157712225,1,77
0.532680040708361,0.0,0.45333333333333337,0.11,3.0,61241.84415452506,1,56
0.3368835013608263,0.0,0.3016666666666667,0.0,4.0,61428.001628669226,1,33
0.2736328112610178,0.0,0.25666666666666665,0.06,2.0,453433.5705113778,1,22
0.5213965829380455,0.0,0.4383333333333333,0.08,8.0,101132.70882160284,1,6
